model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
1.0000000000e+00,-1.5451599320e+01,-1.4790197594e+01,-1.5771285218e+01,-1.5284571549e+01,9.4659517293e-01,1.4179549478e+00
1.0000000000e+00,-1.4108363849e+01,-1.3755119095e+01,-1.4168480075e+01,-1.3906777953e+01,1.2918017199e-01,4.0335252390e-01
1.0000000000e+00,-1.6591026244e+01,-1.6009960059e+01,-1.6756417715e+01,-1.6368160799e+01,4.0841967641e-01,9.1089319413e-01
1.0000000000e+00,-1.3731947493e+01,-1.3489116579e+01,-1.3752637972e+01,-1.3588733608e+01,4.1761792712e-02,2.5561853045e-01
1.0000000000e+00,-1.6807193347e+01,-1.5752488614e+01,-1.7039058490e+01,-1.6255603229e+01,6.5406831251e-01,1.3898806665e+00
1.0000000000e+00,-1.5091848925e+01,-1.4283233971e+01,-1.5314213108e+01,-1.4712087859e+01,6.3329952627e-01,1.2354174331e+00
1.0000000000e+00,-1.8669695436e+01,-1.8211954136e+01,-1.8741687040e+01,-1.8401319866e+01,1.5794372555e-01,5.1746160344e-01
1.0000000000e+00,-1.9995295976e+01,-1.9640132879e+01,-2.0128537445e+01,-1.9868561372e+01,3.1507131566e-01,5.9231558773e-01
1.0000000000e+00,-1.6152929798e+01,-1.5512493411e+01,-1.6503504696e+01,-1.6001033693e+01,1.1004103323e+00,1.4719775001e+00
1.0000000000e+00,-1.5897492224e+01,-1.5311606992e+01,-1.6243301576e+01,-1.5786320749e+01,1.1212074275e+00,1.4675524721e+00
1.0000000000e+00,-1.6262158829e+01,-1.5610105933e+01,-1.6694309803e+01,-1.6098623858e+01,1.4185084725e+00,1.5314218119e+00
1.0000000000e+00,-1.5083242893e+01,-1.4562208022e+01,-1.5472046700e+01,-1.5063340569e+01,1.1595016017e+00,1.4762022877e+00
1.0000000000e+00,-1.6124133861e+01,-1.5084033886e+01,-1.6201932737e+01,-1.5393375113e+01,1.6351564017e-01,8.9727964135e-01
1.0000000000e+00,-1.9478148249e+01,-1.7656023524e+01,-1.9850804340e+01,-1.8628492927e+01,1.0906644487e+00,2.5861536865e+00
1.0000000000e+00,-1.7492506516e+01,-1.5477502492e+01,-1.7849485278e+01,-1.6227121961e+01,7.8094863172e-01,2.1887175057e+00
1.0000000000e+00,-1.6873924290e+01,-1.6499365595e+01,-1.7185581769e+01,-1.6850109117e+01,1.0061624853e+00,1.1265201791e+00
1.0000000000e+00,-1.5823054931e+01,-1.5234575480e+01,-1.5999179048e+01,-1.5602918617e+01,4.9383742515e-01,9.6250975174e-01
1.0000000000e+00,-1.6579175501e+01,-1.6040358632e+01,-1.6921812383e+01,-1.6503194870e+01,1.1311597311e+00,1.4315296887e+00
